step,plaquette
1465, 0.574119
1470, 0.569128
1475, 0.572138
1480, 0.571299
1485, 0.568936
1490, 0.569457
1495, 0.569633
1500, 0.571187
1505, 0.573606
1510, 0.568425
1515, 0.573437
1520, 0.572212
1525, 0.570677
1530, 0.573438
1535, 0.572853
1540, 0.57077
1545, 0.569398
1550, 0.571737
1555, 0.572153
1560, 0.571436
1565, 0.569435
1570, 0.571531
1575, 0.569488
1580, 0.568422
1585, 0.569814
1590, 0.570243
1595, 0.572685
1600, 0.5702
1605, 0.567413
1610, 0.567539
1615, 0.57417
1620, 0.572198
1625, 0.572268
1630, 0.568577
1635, 0.572505
1640, 0.57279
1645, 0.572835
1650, 0.576008
1655, 0.572619
1660, 0.572401
1665, 0.570818
1670, 0.574152
1675, 0.574921
1680, 0.574523
1685, 0.567353
1690, 0.569247
1695, 0.575333
1700, 0.570833
1705, 0.572164
1710, 0.56893
1715, 0.5714
1720, 0.569273
1725, 0.572929
1730, 0.573565
1735, 0.571427
1740, 0.570904
1745, 0.574496
1750, 0.573543
1755, 0.5701
1760, 0.567834
1765, 0.574164
1770, 0.569152
1775, 0.572681
1780, 0.573988
1785, 0.57133
1790, 0.572818
1795, 0.568466
1800, 0.56983
1805, 0.570308
1810, 0.572374
1815, 0.573299
1820, 0.57493
1825, 0.575464
1830, 0.572761
1835, 0.573399
1840, 0.576328
1845, 0.569314
1850, 0.571389
1855, 0.572236
1860, 0.575012
1865, 0.576781
1870, 0.575136
1875, 0.572949
1880, 0.572894
1885, 0.577117
1890, 0.571502
1895, 0.568706
1900, 0.568997
1905, 0.569973
1910, 0.571207
1915, 0.571885
1920, 0.572372
1925, 0.56908
1930, 0.5716
1935, 0.570962
1940, 0.570846
1945, 0.570288
1950, 0.574241
1955, 0.570476
1960, 0.572161
1965, 0.567881
1970, 0.570723
1975, 0.570309
1980, 0.571656
1985, 0.570762
1990, 0.570494
1995, 0.572258
2000, 0.572612
2005, 0.572225
2010, 0.569332
2015, 0.56619
2020, 0.571044
2025, 0.572641
2030, 0.57045
2035, 0.570383
2040, 0.572168
2045, 0.570716
2050, 0.565883
2055, 0.570917
2060, 0.570021
2065, 0.570593
2070, 0.569354
2075, 0.572151
2080, 0.570722
2085, 0.57035
2090, 0.571048
2095, 0.568502
2100, 0.570496
2105, 0.56986
2110, 0.567706
2115, 0.568177
2120, 0.571065
2125, 0.572706
2130, 0.572292
2135, 0.568278
2140, 0.572146
2145, 0.572121
2150, 0.569358
2155, 0.57285
2160, 0.570449
2165, 0.573246
2170, 0.572203
2175, 0.570346
2180, 0.568817
2185, 0.57189
2190, 0.568019
2195, 0.573133
2200, 0.571472
2205, 0.575675
2210, 0.571534
2215, 0.575544
2220, 0.5748
2225, 0.575368
2230, 0.572742
2235, 0.568547
2240, 0.56989
2245, 0.574316
2250, 0.568892
2255, 0.571161
2260, 0.572356
2265, 0.570626
2270, 0.577737
2275, 0.574168
2280, 0.569503
2285, 0.570877
2290, 0.573792
2295, 0.572601
2300, 0.577529
2305, 0.573841
2310, 0.571014
2315, 0.574815
2320, 0.57209
2325, 0.569202
2330, 0.570094
2335, 0.571624
2340, 0.571755
2345, 0.569258
2350, 0.569672
2355, 0.570469
2360, 0.570934
2365, 0.571001
2370, 0.566806
2375, 0.570227
2380, 0.5707
2385, 0.5685
2390, 0.568998
2395, 0.570648
2400, 0.57096
2405, 0.569587
2410, 0.573368
2415, 0.56344
2420, 0.569943
2425, 0.570686
2430, 0.568447
2435, 0.569758
2440, 0.570621
2445, 0.570725
2450, 0.568471
2455, 0.571922
2460, 0.572973
2465, 0.570279
2470, 0.575481
2475, 0.573824
2480, 0.569252
2485, 0.57357
2490, 0.572958
2495, 0.56867
2500, 0.571531
2505, 0.576904
2510, 0.574497
2515, 0.572798
2520, 0.573173
2525, 0.571525
2530, 0.567001
2535, 0.565405
2540, 0.570047
2545, 0.568692
2550, 0.568184
2555, 0.569366
2560, 0.571841
2565, 0.569469
2570, 0.570212
2575, 0.572222
2580, 0.573166
2585, 0.573367
2590, 0.570867
2595, 0.570278
2600, 0.571264
2605, 0.569534
2610, 0.569609
2615, 0.567348
2620, 0.573096
2625, 0.575498
2630, 0.571075
2635, 0.568181
2640, 0.571673
2645, 0.56963
2650, 0.57125
2655, 0.569333
2660, 0.568971
2665, 0.571942
2670, 0.570025
2675, 0.57164
2680, 0.571662
2685, 0.571031
2690, 0.570746
2695, 0.572349
2700, 0.571007
2705, 0.572688
2710, 0.569498
2715, 0.574344
2720, 0.572914
2725, 0.571344
2730, 0.572549
2735, 0.57561
2740, 0.574099
2745, 0.570906
2750, 0.572186
2755, 0.570228
2760, 0.566404
2765, 0.568531
2770, 0.568793
2775, 0.571791
2780, 0.572651
2785, 0.572476
2790, 0.573215
2795, 0.569546
2800, 0.571992
2805, 0.567785
2810, 0.572495
2815, 0.572269
2820, 0.573581
2825, 0.57341
2830, 0.571907
2835, 0.571906
2840, 0.57115
2845, 0.572031
2850, 0.570659
2855, 0.567857
2860, 0.567735
2865, 0.56932
2870, 0.566739
2875, 0.567884
2880, 0.573349
2885, 0.571056
2890, 0.571824
2895, 0.572172
2900, 0.56996
2905, 0.570893
2910, 0.567895
2915, 0.570147
2920, 0.566957
2925, 0.574425
2930, 0.574425
2935, 0.576412
2940, 0.570737
2945, 0.56978
2950, 0.572765
2955, 0.573057
2960, 0.575455
2965, 0.571112
2970, 0.564753
2975, 0.566633
2980, 0.567338
2985, 0.568117
2990, 0.575291
2995, 0.57238
